Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Brand,Model
Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,Jaguar,XF 2.2 Litre Luxury
Mercedes-Benz E-Class 230,Pune,2012,100000,Petrol,Automatic,First,10.0,2496.0,157.7,5.0,Mercedes-Benz,E-Class 230
Honda BRV i-DTEC V MT,Bangalore,2016,34820,Diesel,Manual,First,21.9,1498.0,98.6,7.0,Honda,BRV i-DTEC V MT
Honda Amaze VX i-DTEC,Kolkata,2013,38001,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze VX i-DTEC
Skoda Rapid Ultima 1.6 TDI Ambition Plus,Coimbatore,2015,55409,Diesel,Manual,First,20.5,1598.0,103.5,5.0,Skoda,Rapid Ultima 1.6 TDI Ambition Plus
Hyundai Grand i10 1.2 CRDi Sportz,Kochi,2017,20773,Diesel,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand i10 1.2 CRDi Sportz
Maruti Alto LXi,Mumbai,2010,66000,Petrol,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto LXi
Hyundai Grand i10 AT Asta,Coimbatore,2015,37081,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 AT Asta
Hyundai i20 Asta 1.4 CRDi (Diesel),Ahmedabad,2009,68000,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,Hyundai,i20 Asta 1.4 CRDi (Diesel)
Skoda Rapid 1.5 TDI AT Elegance,Coimbatore,2016,46630,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,Skoda,Rapid 1.5 TDI AT Elegance
Hyundai Grand i10 AT Asta,Bangalore,2014,21000,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,Hyundai,Grand i10 AT Asta
Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2016,24000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,Toyota,Innova 2.5 G (Diesel) 8 Seater
Hyundai Verna 1.6 SX CRDi (O),Pune,2012,89000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna 1.6 SX CRDi (O)
